step_idx,generated_token_id,layer0_top_k,layer0_selected_block_ids,layer0_candidate_k_len,layer0_working_k_len,layer0_coverage_ratio,layer0_working_ratio,layer0_is_contiguous,layer14_top_k,layer14_selected_block_ids,layer14_candidate_k_len,layer14_working_k_len,layer14_coverage_ratio,layer14_working_ratio,layer14_is_contiguous,layer27_top_k,layer27_selected_block_ids,layer27_candidate_k_len,layer27_working_k_len,layer27_coverage_ratio,layer27_working_ratio,layer27_is_contiguous
0,2480,1,[14],256,512,0.066649,0.124969,True,1,[15],1,257,0.000260,0.062729,True,7,"[14, 1, 13, 2, 4, 3, 12]",1792,2048,0.466545,0.499878,False
1,2480,1,[15],2,258,0.000521,0.062958,True,1,[15],2,258,0.000521,0.062958,True,7,"[15, 14, 13, 12, 11, 10, 9]",1538,1794,0.400312,0.437775,True
2,6529,1,[15],3,259,0.000781,0.063186,True,1,[15],3,259,0.000781,0.063186,True,7,"[15, 14, 13, 12, 11, 10, 9]",1539,1795,0.400468,0.437912,True
3,6529,1,[15],4,260,0.001041,0.063415,True,1,[15],4,260,0.001041,0.063415,True,7,"[15, 14, 13, 12, 11, 2, 10]",1540,1796,0.400624,0.438049,False
4,481,1,[15],5,261,0.001300,0.063643,True,1,[15],5,261,0.001300,0.063643,True,7,"[15, 14, 12, 13, 11, 10, 4]",1541,1797,0.400780,0.438186,False
5,9363,1,[15],6,262,0.001560,0.063871,True,1,[14],256,512,0.066563,0.124817,True,7,"[15, 14, 13, 12, 10, 11, 4]",1542,1798,0.400936,0.438323,False
6,220,1,[15],7,263,0.001820,0.064099,True,1,[14],256,512,0.066545,0.124787,True,7,"[14, 13, 10, 12, 11, 9, 15]",1543,1799,0.401092,0.438460,True
7,481,1,[15],8,264,0.002079,0.064327,True,1,[15],8,264,0.002079,0.064327,True,7,"[15, 14, 13, 12, 11, 10, 9]",1544,1800,0.401247,0.438596,True
8,220,1,[15],9,265,0.002338,0.064555,True,1,[15],9,265,0.002338,0.064555,True,7,"[14, 15, 10, 11, 13, 12, 9]",1545,1801,0.401403,0.438733,True
9,320,1,[15],10,266,0.002597,0.064783,True,1,[15],10,266,0.002597,0.064783,True,7,"[15, 14, 13, 11, 12, 10, 9]",1546,1802,0.401558,0.438870,True
10,481,1,[15],11,267,0.002856,0.065011,True,1,[15],11,267,0.002856,0.065011,True,7,"[15, 14, 13, 12, 11, 10, 9]",1547,1803,0.401714,0.439007,True
11,481,1,[15],12,268,0.003115,0.065239,True,1,[15],12,268,0.003115,0.065239,True,7,"[15, 14, 10, 13, 12, 4, 9]",1548,1804,0.401869,0.439143,False
12,5185,1,[15],13,269,0.003374,0.065466,True,1,[15],13,269,0.003374,0.065466,True,7,"[15, 14, 13, 12, 10, 11, 9]",1549,1805,0.402024,0.439280,True
13,25,1,[15],14,270,0.003633,0.065693,True,1,[14],256,512,0.066424,0.124574,True,7,"[15, 14, 13, 12, 1, 4, 2]",1550,1806,0.402180,0.439416,False
14,320,1,[14],256,512,0.066407,0.124544,True,1,[15],15,271,0.003891,0.065921,True,7,"[15, 14, 13, 12, 11, 10, 9]",1551,1807,0.402335,0.439552,True
15,25,1,[14],256,512,0.066390,0.124514,True,1,[15],16,272,0.004149,0.066148,True,7,"[4, 13, 14, 3, 2, 10, 1]",1792,2048,0.464730,0.498054,False
