model,seq_len_target,seq_len_actual,layer_idx,hot_window,block_size,top_k,num_layer_blocks,num_selected_blocks,cold_k_len,candidate_k_len,full_k_len,working_k_len,coverage_ratio,working_ratio,mean_abs_diff,max_abs_diff,l2_diff
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,128,64,1,14,1,896,64,1024,192,0.07142857142857142,0.1875,2.0802440303668845e-07,1.6689300537109375e-06,5.9025037444371264e-06
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,128,64,1,14,1,896,64,1024,192,0.07142857142857142,0.1875,0.002309107221662998,0.023521780967712402,0.06610459089279175
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,128,64,1,14,1,896,64,1024,192,0.07142857142857142,0.1875,0.07275088876485825,0.5313701629638672,1.9026293754577637
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,128,64,2,14,2,896,128,1024,256,0.14285714285714285,0.25,2.2884694317326648e-07,1.7881393432617188e-06,6.36042113910662e-06
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,128,64,2,14,2,896,128,1024,256,0.14285714285714285,0.25,0.0015405528247356415,0.014684200286865234,0.04397839307785034
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,128,64,2,14,2,896,128,1024,256,0.14285714285714285,0.25,0.06280148774385452,0.44999921321868896,1.632772445678711
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,128,64,3,14,3,896,192,1024,320,0.21428571428571427,0.3125,2.299283323736745e-07,1.8477439880371094e-06,6.436142029997427e-06
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,128,64,3,14,3,896,192,1024,320,0.21428571428571427,0.3125,0.0010129286674782634,0.010064959526062012,0.029691427946090698
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,128,64,3,14,3,896,192,1024,320,0.21428571428571427,0.3125,0.05617847293615341,0.40134191513061523,1.458557367324829
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,128,128,1,7,1,896,128,1024,256,0.14285714285714285,0.25,2.2884694317326648e-07,1.7881393432617188e-06,6.36042113910662e-06
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,128,128,1,7,1,896,128,1024,256,0.14285714285714285,0.25,0.0015405528247356415,0.014684200286865234,0.04397839307785034
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,128,128,1,7,1,896,128,1024,256,0.14285714285714285,0.25,0.06280148774385452,0.44999921321868896,1.632772445678711
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,128,128,2,7,2,896,256,1024,384,0.2857142857142857,0.375,1.9599656297941692e-07,1.5497207641601562e-06,5.5535642786708195e-06
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,128,128,2,7,2,896,256,1024,384,0.2857142857142857,0.375,0.000819073524326086,0.008937716484069824,0.02430124394595623
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,128,128,2,7,2,896,256,1024,384,0.2857142857142857,0.375,0.050129421055316925,0.3554800748825073,1.2957178354263306
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,128,128,3,7,3,896,384,1024,512,0.42857142857142855,0.5,2.069017455141875e-07,1.6689300537109375e-06,5.794890057586599e-06
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,128,128,3,7,3,896,384,1024,512,0.42857142857142855,0.5,0.00020884835976175964,0.0020528435707092285,0.006025719456374645
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,128,128,3,7,3,896,384,1024,512,0.42857142857142855,0.5,0.03824455291032791,0.26821422576904297,0.9853946566581726
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,128,256,1,4,1,896,256,1024,384,0.2857142857142857,0.375,1.991347744478844e-07,1.6093254089355469e-06,5.621009222522844e-06
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,128,256,1,4,1,896,128,1024,256,0.14285714285714285,0.25,0.0015405528247356415,0.014684200286865234,0.04397839307785034
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,128,256,1,4,1,896,128,1024,256,0.14285714285714285,0.25,0.06280148774385452,0.44999921321868896,1.632772445678711
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,128,256,2,4,2,896,512,1024,640,0.5714285714285714,0.625,1.6935541680140886e-07,1.3709068298339844e-06,4.7686980906291865e-06
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,128,256,2,4,2,896,384,1024,512,0.42857142857142855,0.5,0.00020884835976175964,0.0020528435707092285,0.006025719456374645
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,128,256,2,4,2,896,384,1024,512,0.42857142857142855,0.5,0.03824455291032791,0.26821422576904297,0.9853946566581726
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,128,256,3,4,3,896,640,1024,768,0.7142857142857143,0.75,6.8600911617977545e-09,1.1920928955078125e-07,2.490680230948783e-07
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,128,256,3,4,3,896,640,1024,768,0.7142857142857143,0.75,1.149153831647709e-06,1.0013580322265625e-05,2.7871781639987603e-05
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,128,256,3,4,3,896,640,1024,768,0.7142857142857143,0.75,0.015856746584177017,0.10968208312988281,0.40833285450935364
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,256,64,1,12,1,768,64,1024,320,0.08333333333333333,0.3125,6.685286280116998e-08,4.76837158203125e-07,1.8732024500422995e-06
