model,seq_len_target,seq_len_actual,layer_idx,prompt_type,hot_window,block_size,top_k,num_layer_blocks,num_selected_blocks,cold_k_len,candidate_k_len,full_k_len,working_k_len,coverage_ratio,working_ratio,mean_abs_diff,max_abs_diff,l2_diff
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,prose,128,128,1,7,1,896,128,1024,256,0.14285714285714285,0.25,3.838835027636378e-09,1.1920928955078125e-07,1.9366081005500746e-07
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,prose,128,128,1,7,1,896,128,1024,256,0.14285714285714285,0.25,0.0009279290097765625,0.006387591361999512,0.02739289030432701
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,prose,128,128,1,7,1,896,128,1024,256,0.14285714285714285,0.25,0.10960148274898529,0.6788616180419922,2.3190619945526123
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,prose,128,128,2,7,2,896,256,1024,384,0.2857142857142857,0.375,4.39334257862356e-09,1.1920928955078125e-07,1.9873020562499732e-07
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,prose,128,128,2,7,2,896,256,1024,384,0.2857142857142857,0.375,0.00022070670092944056,0.001492321491241455,0.006388344336301088
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,prose,128,128,2,7,2,896,256,1024,384,0.2857142857142857,0.375,0.08814166486263275,0.537353515625,1.8769851922988892
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,prose,128,128,3,7,3,896,384,1024,512,0.42857142857142855,0.5,7.858083961309603e-09,5.960464477539063e-08,2.693417116006458e-07
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,prose,128,128,3,7,3,896,384,1024,512,0.42857142857142855,0.5,0.00016220253019127995,0.0011554956436157227,0.004694093484431505
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,prose,128,128,3,7,3,896,384,1024,512,0.42857142857142855,0.5,0.06271249800920486,0.41652727127075195,1.3395707607269287
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,prose,128,256,1,4,1,896,128,1024,256,0.14285714285714285,0.25,9.858754879132903e-08,7.152557373046875e-07,2.767026671790518e-06
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,prose,128,256,1,4,1,896,128,1024,256,0.14285714285714285,0.25,0.0009279290097765625,0.006387591361999512,0.02739289030432701
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,prose,128,256,1,4,1,896,128,1024,256,0.14285714285714285,0.25,0.10960148274898529,0.6788616180419922,2.3190619945526123
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,0,prose,128,256,2,4,2,896,384,1024,512,0.42857142857142855,0.5,5.40794786729748e-09,1.1920928955078125e-07,2.0406923795235343e-07
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,14,prose,128,256,2,4,2,896,384,1024,512,0.42857142857142855,0.5,8.2577666034922e-05,0.0007050633430480957,0.002355540869757533
Qwen/Qwen2.5-1.5B-Instruct,1024,1024,27,prose,128,256,2,4,2,896,384,1024,512,0.42857142857142855,0.5,0.06262336671352386,0.3722400665283203,1.3255923986434937
